x,y,z
-24999.99414,223.9216919,33589.20703
-24999.41602,223.9219055,33589.03906
-24998.97461,223.9202271,33588.89063
-24998.51172,223.9178925,33588.72266
-24998.05664,223.9158173,33588.53516
-24997.55273,223.9143524,33588.3125
-24996.99805,223.9134369,33588.03516
-24996.45117,223.9119263,33587.73438
-24996.03906,223.9104614,33587.48828
-24995.49414,223.9087067,33587.12891
-24995.11523,223.9079285,33586.85938
-24994.5918,223.9071808,33586.45313
-24994.23828,223.9069366,33586.15234
-24993.85352,223.9069824,33585.80469
-24993.5,223.9067535,33585.46094
-24993.1582,223.9059143,33585.10156
-24992.82227,223.9046936,33584.72656
-24992.40039,223.904007,33584.20703
-24992.125,223.9035797,33583.83984
-24991.83008,223.9030914,33583.41797
-24991.4707,223.9023895,33582.85156
-24991.21094,223.9017334,33582.39844
-24990.98828,223.9006195,33581.98047
-24990.6875,223.8978119,33581.35547
-24990.46094,223.8952637,33580.83203
-24990.28711,223.8935852,33580.39453
-24990.11328,223.8921661,33579.90625
-24989.94727,223.8910522,33579.39453
-24989.80078,223.8901978,33578.87891
-24989.67773,223.8895111,33578.39453
-24989.56836,223.8890686,33577.90625
-24989.4707,223.888855,33577.41797
-24989.37109,223.8883972,33576.82813
-24989.30273,223.8874512,33576.36328
-24989.2168,223.8855133,33575.66797
-24989.16797,223.8843079,33575.17578
-24989.125,223.8826599,33574.64453
-24989.09375,223.8808289,33574.15625
-24989.06641,223.8783569,33573.62891
-24989.04297,223.8755341,33573.0625
-24989.02539,223.8732452,33572.41016
-24989.01563,223.8713989,33571.88281
-24989.00977,223.8691101,33571.35938
-24989.00391,223.8660736,33570.6875
-24989.00195,223.8639984,33570.22656
-24989,223.8608856,33569.58594
-24988.99609,223.8589325,33569.07031
-24988.99219,223.86026,33568.53516
-24988.98633,223.8639069,33568.01172
-24988.97656,223.8679352,33567.46484
-24988.9668,223.870697,33566.94922
-24988.95117,223.8722839,33566.41406
-24988.93164,223.8727417,33565.93359
-24988.9043,223.8729553,33565.37109
-24988.87305,223.8731689,33564.88281
-24988.83398,223.8738556,33564.37891
-24988.78125,223.8759613,33563.78906
-24988.72656,223.8783417,33563.26563
-24988.66406,223.8797455,33562.74219
-24988.5957,223.8803711,33562.23438
-24988.52148,223.8812561,33561.75
-24988.42383,223.8824158,33561.18359
-24988.30859,223.8825226,33560.58594
-24988.20898,223.8820648,33560.125
-24988.08984,223.8816833,33559.62891
-24987.96484,223.8813324,33559.14453
-24987.82813,223.8808136,33558.66797
-24987.68164,223.8806305,33558.1875
-24987.48828,223.8813934,33557.61719
-24987.31445,223.8817139,33557.14063
-24987.13867,223.8807373,33556.69141
-24986.94141,223.8790894,33556.23047
-24986.73047,223.8777771,33555.76563
-24986.50977,223.8768158,33555.31641
-24986.28125,223.8757172,33554.87891
-24985.99219,223.8741913,33554.36719
-24985.70898,223.8729858,33553.90234
-24985.40625,223.8715363,33553.44141
-24985.06055,223.8690948,33552.94922
-24984.76758,223.8666077,33552.55859
-24984.36719,223.8635254,33552.0625
-24983.9668,223.8611603,33551.60547
-24983.54102,223.8587646,33551.15625
-24983.19531,223.8568268,33550.8125
-24982.73047,223.8534698,33550.39063
-24982.33203,223.8498993,33550.05078
-24981.86719,223.8462219,33549.6875
-24981.54492,223.8439941,33549.44922
-24981.03711,223.8405609,33549.10938
-24980.47266,223.8366547,33548.76172
-24979.99219,223.8343658,33548.49609
-24979.54297,223.8330231,33548.26953
-24979.08984,223.8318481,33548.0625
-24978.50977,223.8309479,33547.82813
-24977.94922,223.8316956,33547.62891
-24977.49023,223.8322906,33547.48438
-24976.95703,223.8317566,33547.34375
-24976.48633,223.8306427,33547.23438
-24975.96289,223.8293915,33547.13281
-24975.32422,223.8282166,33547.03516
-24974.71289,223.8279266,33546.96875
-24974.1875,223.8276215,33546.92969
-24973.53906,223.825119,33546.90234
-24972.87891,223.8205261,33546.90234
-24972.37891,223.8174896,33546.91406
-24971.875,223.8152466,33546.94141
-24971.36719,223.8138275,33546.98047
-24970.81445,223.8132172,33547.03516
-24970.30859,223.8121338,33547.09766
-24969.72266,223.8093109,33547.17969
-24969.24023,223.8068695,33547.25781
-24968.58789,223.8043365,33547.375
-24967.95703,223.8008575,33547.5
-24967.4707,223.7977753,33547.60156
-24966.98242,223.7949829,33547.71094
-24966.41016,223.7914581,33547.84375
-24965.77148,223.7867737,33547.99219
-24965.28906,223.7830505,33548.10938
-24964.77148,223.7793274,33548.23438
-24964.16797,223.7749023,33548.375
-24963.53125,223.7705994,33548.52734
-24963.04102,223.768219,33548.64063
-24962.38672,223.7651215,33548.78906
-24961.84766,223.762207,33548.90234
-24961.2793,223.7594604,33549.01953
-24960.76563,223.7572021,33549.11719
-24960.12891,223.7541351,33549.23438
-24959.65039,223.7517853,33549.31641
-24959.13867,223.7494507,33549.39453
-24958.62109,223.7471771,33549.46484
-24958.10938,223.7450409,33549.52734
-24957.58594,223.7436676,33549.58203
-24957.03711,223.7425232,33549.625
-24956.50781,223.7411804,33549.66016
-24956.02734,223.7401886,33549.67969
-24955.37305,223.73909,33549.69531
-24954.89844,223.7380676,33549.69531
-24954.33594,223.7368927,33549.67969
-24953.84375,223.736145,33549.65625
-24953.3457,223.7355652,33549.62109
-24952.83203,223.734848,33549.57031
-24952.2793,223.7338409,33549.50391
-24951.79102,223.7337494,33549.42969
-24951.13477,223.7335358,33549.3125
-24950.5332,223.7328644,33549.18359
-24950.07227,223.7330017,33549.06641
-24949.57617,223.7333374,33548.93359
-24949.10156,223.7328949,33548.78906
-24948.59961,223.7332001,33548.61719
-24948.14648,223.7350159,33548.45313
-24947.70117,223.7389221,33548.27344
-24947.23633,223.7439728,33548.07422
-24946.75586,223.7482147,33547.84766
-24946.29102,223.7510681,33547.60938
-24945.85156,223.7535095,33547.36328
-24945.42383,223.7570953,33547.10938
-24945.01953,223.7609863,33546.85156
-24944.5625,223.7642365,33546.53906
-24944.13477,223.7665863,33546.22656
